"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Groupe d'âge";"Sexe";"Source de revenu";"Statistiques";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"1976";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"4650";"";"";"";"0"
"1977";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"4705";"";"";"";"0"
"1978";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"4765";"";"";"";"0"
"1979";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"4832";"";"";"";"0"
"1980";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"4901";"";"";"";"0"
"1981";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"4961";"";"";"";"0"
"1982";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"5004";"";"";"";"0"
"1983";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"5043";"";"";"";"0"
"1984";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"5083";"";"";"";"0"
"1985";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"5126";"";"";"";"0"
"1986";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"5179";"";"";"";"0"
"1987";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"5231";"";"";"";"0"
"1988";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"5281";"";"";"";"0"
"1989";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"5336";"";"";"";"0"
"1990";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"5399";"";"";"";"0"
"1991";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"5452";"";"";"";"0"
"1992";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"5506";"";"";"";"0"
"1993";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"5532";"A";"";"";"0"
"1994";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"5579";"A";"";"";"0"
"1995";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"5621";"A";"";"";"0"
"1996";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"5670";"A";"";"";"0"
"1997";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"5699";"A";"";"";"0"
"1998";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"5752";"A";"";"";"0"
"1999";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"5785";"A";"";"";"0"
"2000";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"5829";"A";"";"";"0"
"2001";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"5879";"A";"";"";"0"
"2002";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"5920";"A";"";"";"0"
"2003";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"5985";"A";"";"";"0"
"2004";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"6052";"A";"";"";"0"
"2005";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"6101";"A";"";"";"0"
"2006";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"6152";"A";"";"";"0"
"2007";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"6233";"A";"";"";"0"
"2008";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"6326";"A";"";"";"0"
"2009";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"6414";"A";"";"";"0"
"2010";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"6501";"A";"";"";"0"
"2011";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"6572";"A";"";"";"0"
"2012";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"6579";"A";"";"";"0"
"2013";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"6648";"A";"";"";"0"
"2014";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"6635";"E";"";"";"0"
"2015";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"6658";"A";"";"";"0"
"2016";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"6700";"A";"";"";"0"
"2017";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"6798";"A";"";"";"0"
"2018";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"6879";"A";"";"";"0"
"2019";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"6937";"A";"";"";"0"
"2020";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"6968";"A";"";"";"0"
"2021";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre de personnes";"Nombre";"223";"milliers";"3";"v107671654";"7.1.1.1.1";"7036";"A";"";"";"0"
"1976";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"3811";"";"";"";"0"
"1977";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"3853";"";"";"";"0"
"1978";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"3912";"";"";"";"0"
"1979";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"4013";"";"";"";"0"
"1980";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"4117";"";"";"";"0"
"1981";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"4224";"";"";"";"0"
"1982";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"4328";"";"";"";"0"
"1983";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"4413";"";"";"";"0"
"1984";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"4510";"";"";"";"0"
"1985";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"4598";"";"";"";"0"
